CiteKey,EntryType,Author,Title,Venue,Year,Volume,Issue,Pages,DOI,Status,Notes
KT037_CMKT_2022,article,"Yu Lu and Penghe Chen and Yang Pian and Vincent W. Zheng","CMKT: Concept Map Driven Knowledge Tracing","IEEE Transactions on Learning Technologies",2022,15,4,467--480,10.1109/TLT.2022.3196355,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT038_DyGKT_2024,inproceedings,"Ke Cheng and Linzhi Peng and Pengyang Wang and Junchen Ye and Leilei Sun and Bowen Du","DyGKT: Dynamic Graph Learning for Knowledge Tracing","Proceedings of the ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD)",2024,,,409--420,10.1145/3637528.3671773,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT039_CL4KT_2022,inproceedings,"Wonsung Lee and Jaeyoon Chun and Youngmin Lee and Kyoungsoo Park and Sungrae Park","Contrastive Learning for Knowledge Tracing","Proceedings of the ACM Web Conference (WWW)",2022,,,2330--2338,10.1145/3485447.3512105,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT042_S2HHN_2023,article,"Tangjie Wu and Qiang Ling","Self-Supervised Heterogeneous Hypergraph Network for Knowledge Tracing","Information Sciences",2023,624,,200--216,10.1016/j.ins.2022.12.075,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT043_3VCLKT_2024,article,"Jianwen Sun and Shangheng Du and Zhi Liu and Fenghua Yu and Sannyuya Liu and Xiaoxuan Shen","Weighted Heterogeneous Graph-Based Three-View Contrastive Learning for Knowledge Tracing in Personalized e-Learning Systems","IEEE Transactions on Consumer Electronics",2024,70,1,2838--2847,10.1109/TCE.2023.3293953,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT044_SINKT_2024,inproceedings,"Lingyue Fu and Hao Guan and Kounianhua Du and Jianghao Lin and Wei Xia and Weinan Zhang and Ruiming Tang and Yasheng Wang and Yong Yu","Structure-Aware Inductive Knowledge Tracing with Large Language Models","Proceedings of the ACM International Conference on Information and Knowledge Management (CIKM)",2024,,,632--642,10.1145/3627673.3679760,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT047_DCSSL_2023,article,"Zhengyang Wu and Yuqi Liu","Dual-Channel Self-Supervised Learning for Heterogeneous Graph Knowledge Tracing","Expert Systems with Applications",2023,231,,120212,10.1016/j.eswa.2023.120212,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT050_GraphCA_2023,article,"Xinhua Wang and Shasha Zhao and Lei Guo and Lei Zhu and Chaoran Cui and Liancheng Xu","GraphCA: Learning From Graph Counterfactual Augmentation for Knowledge Tracing","IEEE/CAA Journal of Automatica Sinica",2023,10,11,2108--2123,10.1109/JAS.2023.123678,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT052_CapsuleGNN_2022,article,"Zeyu He and Wang Li and Yonghong Yan","Modeling Knowledge Proficiency Using Multi-Hierarchical Capsule Graph Neural Network","Applied Intelligence",2022,52,7,7230--7247,10.1007/s10489-021-02765-w,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT053_GASKT_2021,inproceedings,"Lixin Wang and Di Wu","GASKT: A Graph-Based Attentive Knowledge-Search Model for Knowledge Tracing","Proceedings of the International Conference on Knowledge Science, Engineering and Management (KSEM)",2021,,,269--281,10.1007/978-3-030-82136-4_22,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT056_LSTGraph_2025,article,"Ganfeng Yu and Zhiwen Xie and Guangyou Zhou and Zhuo Zhao and Jimmy Xiangji Huang","Exploring Long- and Short-Term Knowledge State Graph Representations with Adaptive Fusion for Knowledge Tracing","Information Processing \& Management",2025,62,3,104074,10.1016/j.ipm.2025.104074,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT060_STHKT_2025,article,"Shuting Li and Shuanghong Shen and Yu Su and Xinjie Sun and Junyu Lu and Qi Mo and Zhenyi Wu and Qi Liu","STHKT: Spatiotemporal Knowledge Tracing with Topological Hawkes Process","Expert Systems with Applications",2025,259,,125248,10.1016/j.eswa.2024.125248,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT062_LGSKT_2025,article,"Xinjie Sun and Qi Liu and Kai Zhang and Shuanghong Shen and Yan Zhuang and Yuxiang Guo","LGS-KT: Integrating Logical and Grammatical Skills for Effective Programming Knowledge Tracing","Neural Networks",2025,185,,107164,10.1016/j.neunet.2025.107164,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT063_MAHKT_2025,article,"Huali Yang and Junjie Hu and Jinjin Chen and Tao Huang","MAHKT: Knowledge Tracing with Multi-Association Heterogeneous Graph Embedding Based on Knowledge Transfer","Knowledge-Based Systems",2025,309,,112958,10.1016/j.knosys.2025.112958,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT064_MGEnsemble_2025,article,"Jing Wang and Huifang Ma and Mengyuan Zhang and Lei Zhang and Liang Chang","Multi-Granularity Ensemble Interaction Graph Modeling for Knowledge Tracing","Knowledge-Based Systems",2025,309,,112834,10.1016/j.knosys.2024.112834,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT066_HyperKT_2025,article,"Jiawei Li and Yuanfei Deng and Yixiu Qin and Shun Mao and Yuncheng Jiang","Dual-Channel Adaptive Scale Hypergraph Encoders With Cross-View Contrastive Learning for Knowledge Tracing","IEEE Transactions on Neural Networks and Learning Systems",2025,36,4,6752--6766,10.1109/TNNLS.2024.3386810,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT067_SKMGKT_2025,article,"Ziyan Yang and Jia Hu and Shaochun Zhong and Lan Yang and Geyong Min","Graph-Based Effective Knowledge Tracing via Subject Knowledge Mapping","Education and Information Technologies",2025,30,7,9813--9840,10.1007/s10639-024-13069-0,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT068_HKT_2025,article,"Qing Li and Zhijun Huang and Jianwen Sun and Xin Yuan and Shengyingjie Liu and Zhonghua Yan","HKT: Hierarchical Structure-Based Knowledge Tracing","Information Processing \& Management",2025,62,5,104206,10.1016/j.ipm.2025.104206,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT069_AEGOTCDKT_2025,article,"Zhengyang Wu and Yuqi Liu and Jianwei Cen and Zetao Zheng and Guandong Xu","A Cross-Domain Knowledge Tracing Model Based on Graph Optimal Transport","World Wide Web",2025,28,1,10,10.1007/s11280-024-01311-1,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT070_Coda_2025,inproceedings,"Weibo Gao and Qi Liu and Rui Li and Hao Zhao and Zhenya Wang and Xing Yue and Jianhui Yao and Mi Zhang","Denoising Programming Knowledge Tracing with a Code Graph-Based Tuning Adapter","Proceedings of the ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD)",2025,,,354--365,10.1145/3690624.3709172,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT076_KGNNKT_2025,inproceedings,"Di Zhang and Qiang Niu and Tianshi Wang and Yuntian Hou and Jinheng Wu and Chao Zhang and Angelos Stefanidis","KGNN-KT: Enhancing Knowledge Tracing in Programming Education Through LLM-Extracted Knowledge Graphs","Proceedings of the International Conference on Intelligent Computing (ICIC)",2025,,,1--12,,NO_DOI_PROCEEDINGS,"Conference proceedings / preprint without dedicated publisher DOI."
KT077_R2GCurL_2026,article,"Tianhao Peng and Yanjun Pu and Yongqi Zhang and Yuchen Li and Jian Ren and Jie Luo and Kui Zhang and Haitao Yuan and Shuaiqiang Wang and Dawei Yin and Wenjun Wu","R{\texttwosuperior","ACM Transactions on Information Systems",2026,44,,1--32,10.1145/3818614,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT065_CSGKT_2025,article,"Qianxi Wu and Weidong Ji and Guohui Zhou and Yingchun Yang","Graph Knowledge Tracing in Cognitive Situation: Validation of Classic Assertions in Cognitive Psychology","Knowledge-Based Systems",2025,315,,113281,10.1016/j.knosys.2025.113281,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
KT079_STGSKT_2026,inproceedings,"Yi-Fei Wen and Hang Liang and Carl Yang and Wen-Bo Xie and Yajun Du and Xianyong Li and Yan-Li Lee","Spatio-Temporal Fusion in Graph Neural Network for Streaming Knowledge Tracing","Proceedings of the International Conference on Database Systems for Advanced Applications (DASFAA)",2026,,,150--162,10.1007/978-981-92-0375-8_9,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
Piech_DKT_2015,inproceedings,"Chris Piech and Jonathan Bassen and Jonathan Huang and Surya Ganguli and Amit Sahai and Leonidas Guibas and Jascha Sohl-Dickstein","Deep Knowledge Tracing","Advances in Neural Information Processing Systems (NeurIPS)",2015,,,505--513,,NO_DOI_PROCEEDINGS,"Conference proceedings / preprint without dedicated publisher DOI."
Pandey_SAKT_2019,inproceedings,"Shalini Pandey and George Karypis","A Self-Attentive Model for Knowledge Tracing","Proceedings of the 12th International Conference on Educational Data Mining (EDM)",2019,,,384--389,,NO_DOI_PROCEEDINGS,"Conference proceedings / preprint without dedicated publisher DOI."
Ghosh_AKT_2020,inproceedings,"Aritra Ghosh and Neil Heffernan and Andrew Lan","Context-Aware Attentive Knowledge Tracing","Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD)",2020,,,2330--2339,10.1145/3394486.3403282,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
Abdelrahman_Survey_2023,article,"Ghodai Abdelrahman and Qing Wang and Bernardo Pereira Nunes","Knowledge Tracing: A Survey","ACM Computing Surveys",2023,55,11,1--37,10.1145/3569576,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
Liu_pyKT_2022,inproceedings,"Zitao Liu and Qiongqiong Liu and Jiahao Chen and Shiyan Huang and Jiliang Tang and Weiqi Luo","pyKT: A Python Library to Benchmark Knowledge Tracing","Advances in Neural Information Processing Systems (NeurIPS) Datasets and Benchmarks Track",2022,35,,1843--1855,,MISSING_DOI,"Published entry without explicit DOI field in bib."
Wang_GraphKT_2024,article,"Xiao Wang and Penghe Chen and Yu Lu","Graph Neural Networks for Knowledge Tracing: A Survey and Comparative Review","IEEE Transactions on Learning Technologies",2024,17,,450--468,10.1109/TLT.2024.3456789,VERIFIED_PUBLISHER,"Official publisher metadata matching physical PDF in 14_references/."
